Type,Question,Answer,Difficulty
Vocabulary,"What does a ""data analyst"" do?","They use data to answer business questions, acting as a bridge between raw data and business decisions.",Band 7.0
Vocabulary,"Define ""scalable"" in the context of data systems.","Able to handle growing amounts of data or users without performance degradation.",Band 7.0
Vocabulary,"What is a ""dashboard"" in business intelligence?","An interactive visual display of data that allows users to explore and analyze information.",Band 7.0
Vocabulary,"What does ""ad hoc"" mean?","Made or done for a particular purpose only, without planning; answering one-time questions.",Band 7.5
Vocabulary,"Define ""proactive"" in business context.","Taking action to create change or prepare for future situations rather than reacting.",Band 7.0
Vocabulary,"What is a ""pipeline"" in data engineering?","A automated system that moves and transforms data from source systems to destination layers.",Band 7.0
Vocabulary,"What does ""insight"" mean?","A deep understanding or realization about something, especially from analyzing data.",Band 7.0
Vocabulary,"Define ""underperform"".","To perform less well than expected or required; not meeting standards.",Band 7.0
Vocabulary,"What is ""automation""?","The use of technology to perform tasks with minimal human intervention.",Band 7.0
Vocabulary,"What does ""revenue"" mean?","Income that a company receives from its business activities.",Band 7.0
Phrasal Verb,"What does ""pull from"" mean in data context?","To extract or retrieve data from a source.",Band 7.0
Phrasal Verb,"Explain ""base on"".","To use something as the foundation for a decision or process.",Band 7.0
Phrasal Verb,"What does ""lead to"" mean?","To cause or result in a particular outcome.",Band 7.0
Phrasal Verb,"What is ""clean up"" in data processing?","To remove errors and inconsistencies from data.",Band 7.0
Phrasal Verb,"Explain ""set up"".","To establish or configure a system or environment.",Band 7.0
Phrasal Verb,"What does ""figure out"" mean?","To understand or solve something through thinking.",Band 7.0
Phrasal Verb,"What is ""turn into""?","To transform or convert something into something else.",Band 7.0
Phrasal Verb,"Explain ""scale up"".","To increase the size or capacity of a system.",Band 7.0
Phrasal Verb,"What does ""connect to"" mean?","To establish a connection with a system or resource.",Band 7.0
Phrasal Verb,"What is ""filter out""?","To remove unwanted items or data.",Band 7.0
Phrasal Verb,"What does ""point out"" mean?","To draw attention to something important.",Band 7.0
Phrasal Verb,"Explain ""follow up"".","To continue monitoring or checking on something.",Band 7.0
Phrasal Verb,"What does ""build out"" mean?","To develop or construct something fully.",Band 7.5
Phrasal Verb,"What is ""flow into""?","To enter or move into a destination continuously.",Band 7.0
Phrasal Verb,"Explain ""end up"".","To eventually reach a particular state or result.",Band 7.0
Fill in Blank,"Data analysts _____ as a bridge between raw data and business decisions.",act,Band 7.0
Fill in Blank,"The Medalis architecture _____ data into three layers: Bronze, Silver, and Gold.",organizes,Band 7.0
Fill in Blank,"Data engineers _____ data pipelines to automate data flow.",build,Band 7.0
Fill in Blank,"BI developers _____ dashboards to make reports accessible 24/7.",create,Band 7.0
Fill in Blank,"Data scientists use models to _____ future trends.",predict,Band 7.0
Fill in Blank,"Without data, you're just another person with an _____.",opinion,Band 7.0
Fill in Blank,"Big companies _____ huge amounts of data every day.",generate,Band 7.0
Fill in Blank,"The data pipeline _____ data from source systems to the Gold layer.",moves,Band 7.0
Fill in Blank,"Managers need quick answers to make _____ decisions.",smart,Band 7.0
Fill in Blank,"The Bronze layer contains _____ data.",raw,Band 7.0
Fill in Blank,"ML engineers _____ models into production environments.",deploy,Band 7.5
Fill in Blank,"Interactive dashboards allow users to _____ with data directly.",interact,Band 7.0
Fill in Blank,"Data must be _____, structured, and optimized before analysis.",clean,Band 7.0
Fill in Blank,"The system is designed to be _____ and handle growth.",scalable,Band 7.0
Fill in Blank,"Analysts use SQL to _____ databases for information.",query,Band 7.0
Fill in Blank,"Reports should be _____ to save analysts time.",automated,Band 7.0
Fill in Blank,"Decisions based on data are more reliable than those based on _____.",opinions,Band 7.0
Fill in Blank,"The Silver layer contains _____ and structured data.",clean,Band 7.0
Fill in Blank,"Scientists _____ with models to find the best predictions.",experiment,Band 7.0
Fill in Blank,"A _____ system can handle increased data volume without problems.",scalable,Band 7.5
True/False,"A data analyst manually extracts data from spreadsheets.",True,Band 7.0
True/False,"Data architects design the blueprint of data systems.",True,Band 7.0
True/False,"Data engineers answer business questions directly.",False - Data analysts answer business questions, Band 7.0
True/False,"The Bronze layer contains clean and optimized data.",False - Bronze contains raw data, Band 7.0
True/False,"BI developers create interactive dashboards for multiple users.",True,Band 7.0
True/False,"Data scientists focus only on historical data analysis.",False - They focus on future predictions, Band 7.0
True/False,"ML engineers deploy models into production environments.",True,Band 7.0
