Type,Question,Answer,Hint
Vocabulary,"What does ""prisoner"" mean?","A person held in prison; someone who is incarcerated","Think: prison + person"
Vocabulary,"What does ""warden"" mean?","A person in charge of a prison; the head of a prison","Think: guard leader"
Vocabulary,"What does ""treasure"" mean?","Valuable things like gold, jewels, and riches hidden somewhere","Think: pirate gold"
Vocabulary,"What does ""conspiracy"" mean?","A secret plan by a group to do something unlawful","Think: secret plot"
Vocabulary,"What does ""betrayal"" mean?","The act of being disloyal to someone who trusts you","Think: breaking trust"
Vocabulary,"What does ""revenge"" mean?","The action of hurting someone in return for harm they caused you","Think: getting back at someone"
Vocabulary,"What does ""fortune"" mean?","A large amount of money or wealth","Think: riches, wealth"
Vocabulary,"What does ""luxurious"" mean?","Very expensive and comfortable; rich and grand","Think: fancy, expensive"
Vocabulary,"What does ""magnificent"" mean?","Impressively beautiful, elaborate, or grand","Think: splendid, grand"
Vocabulary,"What does ""corrupt"" mean?","Dishonest; willing to do wrong for money or personal gain","Think: dishonest, immoral"
Vocabulary,"What does ""faith"" mean?","Complete trust or confidence in someone or something; religious belief","Think: trust, belief"
Vocabulary,"What does ""grief"" mean?","Deep sadness, especially caused by someone's death","Think: sorrow, sadness"
Vocabulary,"What does ""deserted"" mean?","Empty of people; abandoned","Think: empty, abandoned"
Vocabulary,"What does ""treacherous"" mean?","Cannot be trusted; likely to betray you","Think: betraying, unfaithful"
Vocabulary,"What does ""justice"" mean?","Fair treatment; the quality of being right and fair","Think: fairness, righteousness"
Phrasal Verb,"Complete: The prisoners tried to ___ from the prison.","break out,"To escape"
Phrasal Verb,"Complete: He was ___ in a small cell for 12 years.","locked up/locked in,"Imprisoned"
Phrasal Verb,"Complete: They ___ the treasure map in an old chest.","found out/discovered,"To discover"
Phrasal Verb,"Complete: The warden ___ Edmund badly.","beat up,"Assaulted violently"
Phrasal Verb,"Complete: Edmund ___ the path to freedom.","dug out,"Created by digging"
Phrasal Verb,"Complete: They decided to ___ on the island.","set off/start,"Depart, begin journey"
Phrasal Verb,"Complete: The tunnel ___ to be going in the wrong direction.","turned out,"Proved to be"
Phrasal Verb,"Complete: Jacob ___ to kill Edmund.","set out/planned,"Intended"
Phrasal Verb,"Complete: The guard ___ footsteps on the floor.","heard/caught,"Perceived sound"
Phrasal Verb,"Complete: They had to ___ for their survival.","fight/struggle,"Compete for existence"
Phrasal Verb,"Complete: Montigue ___ Mercedes.","framed/falsely accused,"Made someone look guilty"
Fill-in-Blank,"The story takes place on a ___ island.","deserted,"Empty of people"
Fill-in-Blank,"Edmund was sent to prison on ___ charges.","false,"Untrue accusations"
Fill-in-Blank,"Abbe Faria dug a tunnel for ___ years.","5,"Time duration"
Fill-in-Blank,"Edmund spent ___ years in prison.","12/13,"Time in prison"
Fill-in-Blank,"Abbe taught Edmund ___ skills.","swordsmanship/fighting,"Combat training"
Fill-in-Blank,"The treasure belonged to the ___ family.","Stadia/Sparta,"Wealthy family"
Fill-in-Blank,"Napoleon imprisoned Abbe to find the ___.","treasure,"Hidden riches"
Fill-in-Blank,"Edmund escaped by swapping places with ___.","Abbe's body/Abbe Faria,"Identity exchange"
Fill-in-Blank,"Edmund killed the ___ by drowning him.","warden,"Prison leader"
Fill-in-Blank,"The pirate captain was named ___.","Luigi,"Pirate leader"
Matching,"Match: prison","A place where criminals are locked up","Definition"
Matching,"Match: warden","The person in charge of a prison","Definition"
Matching,"Match: conspiracy","A secret plan to do something illegal","Definition"
Matching,"Match: betrayal","Being disloyal to someone who trusts you","Definition"
Matching,"Match: revenge","Hurting someone in return for harm they caused","Definition"
Matching,"Match: treasure","Valuable things like gold and jewels","Definition"
Matching,"Match: fortune","A large amount of money or wealth","Definition"
Matching,"Match: magnificent","Very impressive and beautiful","Definition"
Matching,"Match: corrupt","Dishonest; willing to do wrong for money","Definition"
Matching,"Match: justice","Fair treatment; being right and fair","Definition"
True/False,"Edmund was guilty of the crime he was accused of.","False - He was innocent and framed","Plot detail"
True/False,"Abbe Faria had been digging a tunnel for 5 years.","True - He dug from the floor below","Plot detail"
True/False,"Edmund learned swordsmanship from Abbe Faria.","True - Abbe taught him fighting skills","Plot detail"
True/False,"The treasure was easily found on the beach.","False - It was hidden underwater","Plot detail"
True/False,"Edmund's three enemies were innocent men.","False - They were the ones who framed him","Plot detail"
True/False,"Mercedes recognized Edmund immediately at the party.","False - She recognized him later through his hair-twisting habit","Plot detail"
True/False,"Albert was actually Montigue's biological son.","False - He was Edmund's son","Major plot twist"
True/False,"Wilfford was an honest judge.","False - He was corrupt and had his own father killed","Character detail"
True/False,"Edmund killed Montigue in the end.","True - They fought and Edmund struck him fatally","Ending"
True/False,"The story ends with Edmund buying the island prison.","True - He bought it so no one else would suffer","Resolution"
Short Answer,"Why was Edmund sent to the remote island prison?","Because he was framed by conspirators who made false charges against him; only those against whom conspiracies were made were sent there","Plot explanation"
Short Answer,"Who were the three men that framed Edmund?","Montigue (his friend), Wilfford (the magistrate), and a third man who helped with the conspiracy","Character identification"
Short Answer,"How did Edmund escape from prison?","He swapped places with Abbe's dead body, was put in a body bag and thrown into the sea, where he escaped and drowned the warden","Plot explanation"
Short Answer,"What promise did Abbe make Edmund swear before dying?","To always use the treasure for good and stay away from bad deeds as much as possible","Character promise"
Short Answer,"How did Mercedes finally recognize Edmund?","When Edmund twisted her hair in a special way - something only he used to do","Character detail"
Short Answer,"Why did Edmund stage a fake kidnapping of Albert?","To appear as Albert's savior and gain access to Montigue's social circle","Plot strategy"
Short Answer,"How did Edmund expose Wilfford's crimes?","He made Wilfford confess everything during a conversation while police were secretly listening","Plot detail"
Short Answer,"What was in the treasure chests that Montigue found?","Sand - Edmund had replaced the treasure with sand","Plot twist"
Short Answer,"How did Albert stop Edmund from killing Montigue?","He stepped in and said he wouldn't let his father die like that","Character action"
Short Answer,"What happened to Mercedes during the final confrontation?","She was accidentally shot in the shoulder by Jacob's knife which was meant for Montigue","Plot detail"
Short Answer,"What did Edmund do at the end of the story?","He bought the island prison so no one else would have to suffer the pain he went through","Resolution"
Sentence Rewrite,"Rewrite using ""escape"": The prisoners tried to break out of the prison.","The prisoners tried to escape from the prison.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""discover"": They found out the treasure was hidden underwater.","They discovered the treasure was hidden underwater.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""abandon"": The island was empty and deserted.","The island was abandoned.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""enormous"": He earned a huge fortune.","He earned an enormous fortune.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""splendid"": They lived in a magnificent mansion.","They lived in a splendid mansion.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""immoral"": The corrupt magistrate was dishonest.","The immoral magistrate was corrupt.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""get revenge"": Edmund wanted to take revenge on his enemies.","Edmund wanted to get revenge on his enemies.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""unfaithful"": His treacherous friend betrayed him.","His unfaithful friend betrayed him.","Vocabulary application"
Sentence Rewrite,"Rewrite using ""sorrow"": He felt deep grief.","He felt deep sorrow.","Vocabulary application"
