Type,Question,Answer,Hint
Vocabulary,"What does ""hitman"" mean?","A person paid to kill someone; a professional murderer","Think: hit + man"
Vocabulary,"What does ""incinerator"" mean?","A furnace for burning waste; used to destroy bodies","Think: fire + burn"
Vocabulary,"What does ""telekinesis"" mean?","The ability to move objects using only the mind","Think: tele- (distance) + kinesis (movement)"
Vocabulary,"What does ""destined"" mean?","Meant to happen in the future; predetermined","Related to: destiny, fate"
Vocabulary,"What does ""cease"" mean?","To stop or come to an end; to no longer exist","Formal word for ""stop"""
Vocabulary,"What does ""vanish"" mean?","To disappear suddenly or completely","Synonym: disappear"
Vocabulary,"What does ""trauma"" mean?","A psychological shock or painful experience","Can be physical or emotional"
Vocabulary,"What does ""syndicate"" mean?","An organized group or association of criminals","Think: criminal organization"
Vocabulary,"What does ""capture"" mean?","To catch or take someone prisoner","Synonym: catch, apprehend"
Vocabulary,"What does ""execute"" mean?","To carry out a sentence of death; to kill officially","Legal/Criminal context"
Vocabulary,"What does ""track down"" mean?","To find someone or something after searching them","Like hunting or following"
Vocabulary,"What does ""dispose of"" mean?","To get rid of something; to throw away","Formal: eliminate"
Vocabulary,"What does ""close the loop"" mean in this story?","To kill one's future self to eliminate witnesses","Story-specific idiom"
Vocabulary,"What does ""cease to exist"" mean?","To stop being; to no longer exist","Formal: disappear"
Vocabulary,"What does ""side with"" mean?","To support or align with someone","Choose a side"
Phrasal Verb,"Complete: The hunters tried to ___ the escaped prisoner.","track down","To find someone after searching"
Phrasal Verb,"Complete: Criminals often try to ___ evidence of their crimes.","dispose of","To get rid of"
Phrasal Verb,"Complete: He decided to ___ the organization in the conflict.","side with","To support"
Phrasal Verb,"Complete: After retirement, he had to ___ his own future self.","close the loop with","Complete a cycle"
Phrasal Verb,"Complete: The organization ___ all the retired loopers.","hunted down","Pursued to capture/kill"
Phrasal Verb,"Complete: If the young Joe died, the older Joe would ___.","cease to exist","Stop being"
Phrasal Verb,"Complete: She managed to ___ her son's anger.","calm down","Make peaceful/quiet"
Phrasal Verb,"Complete: Joe had to ___ the truth about the Rain Maker.","figure out","Understand/solve"
Phrasal Verb,"Complete: The criminal leader ___ a clever plan.","came up with,"Invented/devised"
Phrasal Verb,"Complete: The older Joe ___ the farm where Sid was hiding.","tracked down","Found after searching"
Phrasal Verb,"Complete: Sarah continued to ___ her son with love and care.","look after,"Take care of"
Fill-in-Blank,"The story takes place in Kansas in the year ___.","2044","Future setting"
Fill-in-Blank,"Joe worked as a specialized hitman called a ___.","looper","Job title"
Fill-in-Blank,"Targets had ___ bars strapped to them as payment.","silver/gold","Precious metals"
Fill-in-Blank,"In the year ___, time travel became possible.","2074","30 years after 2044"
Fill-in-Blank,"The organization was led by a man named ___.","Abe","Criminal leader"
Fill-in-Blank,"Seth was born with the ability of ___.","telekinesis","Moving objects with mind"
Fill-in-Blank,"The mysterious figure hunting loopers was called the ___.","Rain Maker","Villain's title"
Fill-in-Blank,"Sid lived with his mother named ___.","Sarah","Single parent"
Fill-in-Blank,"Young Joe sacrificed himself to break the ___.","endless loop/cycle","Stop the pattern"
Fill-in-Blank,"___ percent of the population had telekinetic abilities.","10","Small minority"
Matching,"Match: hitman","A person paid to kill someone","Definition"
Matching,"Match: incinerator","A furnace for burning waste","Definition"
Matching,"Match: telekinesis","Moving objects with the mind","Definition"
Matching,"Match: destined","Meant to happen","Definition"
Matching,"Match: cease","To stop or end","Definition"
Matching,"Match: vanish","To disappear suddenly","Definition"
Matching,"Match: syndicate","Criminal organization","Definition"
Matching,"Match: trauma","Psychological shock","Definition"
Matching,"Match: capture","To catch/prison","Definition"
Matching,"Match: execute","To carry out death","Definition"
True/False,"In 2044, time travel technology already existed.","False - It didn't exist until 2074","Timeline detail"
True/False,"Loopers were paid in gold bars for regular targets.","False - They got silver; gold was for closing the loop","Payment detail"
True/False,"Closing the loop meant killing one's older self.","True","Story concept"
True/False,"Seth successfully killed his older self.","False - He let him escape","Plot point"
True/False,"The Rain Maker was a criminal organization leader.","True","Character detail"
True/False,"Sid had weak telekinetic abilities.","False - His powers were very strong","Character detail"
