#separator:tab
#html:true
#tags:true

Front	Back	Tags
"data analyst"	"<b>音标</b>: /ˈdeɪtə ˈænəlɪst/<br><b>中文</b>: 数据分析师<br><b>词性</b>: n.<br><b>定义</b>: 使用数据回答业务问题的专业人员，是原始数据与业务决策之间的桥梁<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: bridge between data and decisions"	vocabulary academic priority-1
"data architect"	"<b>音标</b>: /ˈdeɪtə ˈɑːrkɪtekt/<br><b>中文</b>: 数据架构师<br><b>词性</b>: n.<br><b>定义</b>: 设计可扩展数据系统蓝图的专家，类似于建筑物的建筑师<br><b>IELTS评分</b>: LR 7.5+<br><b>搭配</b>: design blueprint, scalable system"	vocabulary academic priority-1
"data engineer"	"<b>音标</b>: /ˈdeɪtə ˌendʒɪˈnɪr/<br><b>中文</b>: 数据工程师<br><b>词性</b>: n.<br><b>定义</b>: 构建数据管道，实现数据自动流动的技术专家<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: build pipelines, automate data flow"	vocabulary academic priority-1
"BI developer"	"<b>音标</b>: /biː aɪ ˈdɛvələpər/<br><b>中文</b>: 商业智能开发者<br><b>词性</b>: n.<br><b>定义</b>: 创建自动化报告和交互式仪表板的专业人员<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: create dashboards, automate reports"	vocabulary academic priority-1
"data scientist"	"<b>音标</b>: /ˈdeɪtə ˈsaɪəntɪst/<br><b>中文</b>: 数据科学家<br><b>词性</b>: n.<br><b>定义</b>: 构建和训练预测模型，回答关于未来问题的专家<br><b>IELTS评分</b>: LR 7.5+<br><b>搭配</b>: build models, make predictions"	vocabulary academic priority-1
"ML engineer"	"<b>音标</b>: /em el ˌendʒɪˈnɪr/<br><b>中文</b>: 机器学习工程师<br><b>词性</b>: n.<br><b>定义</b>: 将机器学习模型部署到生产环境，确保其可用性和可扩展性<br><b>IELTS评分</b>: LR 7.5+<br><b>搭配</b>: deploy models, production environment"	vocabulary academic priority-1
"stakeholder"	"<b>音标</b>: /ˈsteɪkhoʊldər/<br><b>中文</b>: 利益相关者<br><b>词性</b>: n.<br><b>定义</b>: 在项目中或业务中有利益关系的个人或群体，如经理、项目负责人等<br><b>IELTS评分</b>: LR 7.0+<br><b>例句</b>: Managers and stakeholders need quick access to data."	vocabulary business priority-2
"big data"	"<b>音标</b>: /bɪɡ ˈdeɪtə/<br><b>中文</b>: 大数据<br><b>词性</b>: n.<br><b>定义</b>: 海量、高速、多样化的数据集合，需要特殊工具进行处理<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: generate big data, analyze big data"	vocabulary technical priority-2
"scalable"	"<b>音标</b>: /ˈskeɪləbl/<br><b>中文</b>: 可扩展的<br><b>词性</b>: adj.<br><b>定义</b>: 能够处理增长的数据量或用户数量而不降低性能<br><b>IELTS评分</b>: LR 7.5+<br><b>搭配</b>: scalable system, scalable architecture"	vocabulary technical priority-1
"automation"	"<b>音标</b>: /ˌɔːtəˈmeɪʃn/<br><b>中文</b>: 自动化<br><b>词性</b>: n.<br><b>定义</b>: 使用技术以最少的人工干预执行任务<br><b>IELTS评分</b>: LR 7.0+<br><b>搭配</b>: highly automated, process automation"	vocabulary technical priority-2
