Type,Front,Back,Example,IELTS Score,Practice
Vocabulary,immortal,immortal,The man named Henry was an old monster who lived for 200 years and possessed an immortal body.,8.0,Write a sentence using "immortal" to describe something that never changes.
Vocabulary,supernatural,supernatural,Henry had witnessed countless deaths in his life, but he was an immortal with the supernatural power of unlimited resurrection.,7.5,Describe a supernatural power you would like to have.
Vocabulary,resurrection,resurrection,Henry had witnessed countless deaths in his life, but he was an immortal with the supernatural power of unlimited resurrection.,8.0,Explain the concept of resurrection in your own words.
Vocabulary,bustling,bustling,The man walked ashore and came to a bustling park.,7.0,Describe a bustling place you have visited.
Vocabulary,embarrassed,embarrassed,Facing the gazes of the aunts and the police, he did not feel embarrassed at all.,6.5,Describe a situation where you felt embarrassed.
Vocabulary,experienced,experienced,He was used to it because he had experienced such things many times.,6.5,Write about something you have experienced that changed your perspective.
Vocabulary,possessed,possessed,The man named Henry was an old monster who lived for 200 years and possessed an immortal body.,6.5,Describe a valuable quality that you possess.
Vocabulary,fluent,fluent,He only glanced at her and greeted her in fluent Russian.,7.0,Write about the importance of being fluent in a second language.
Vocabulary,enthusiastically,enthusiastically,She enthusiastically invited him to watch her performance.,7.5,Describe something you did enthusiastically.
Vocabulary,disaster,disaster,He happily accepted the invitation but the next second the whole train became a disaster.,7.0,Write about a natural disaster and its impact.
Vocabulary,witnessed,witnessed,Henry had witnessed countless deaths in his life.,7.0,Describe an important event you witnessed.
Vocabulary,insisted,insisted,The captain insisted that the old man had cholera.,7.0,Write about a time when you insisted on something.
Vocabulary,merchant,merchant,This story began 200 years ago on a merchant ship.,6.5,Describe the role of merchants in global trade.
Vocabulary,performance,performance,He also wished her a successful performance tonight.,6.5,Write about a memorable performance you watched.
Vocabulary,immediately,immediately,This made the girl immediately feel good about him.,6.0,Describe a situation where you had to act immediately.
Vocabulary,curious,curious,She was curious how he knew she was Russian.,6.0,Write about something you are curious to learn.
Vocabulary,successful,successful,He also wished her a successful performance tonight.,6.0,Describe what makes a person successful.
Vocabulary,delighted,delighted,She was even more delighted after hearing that.,7.0,Write about a time when you were delighted by good news.
Vocabulary,invitation,invitation,He happily accepted the invitation but the next second the whole train became a disaster.,6.5,Write a formal invitation for an event.
