#separator:tab
#html:true
#tags:true
Front	Tags
<h1>prisoner</h1><p><b>音标</b>: /ˈprɪznər/<br><b>中文</b>: 囚犯，犯人<br><b>词性</b>: n.<br><b>例句</b>: "new prisoners were being brought to this prison"</p>	vocabulary::basic::noun
<h1>warden</h1><p><b>音标</b>: /ˈwɔːrdn/<br><b>中文</b>: 典狱长，看守人<br><b>词性</b>: n.<br><b>例句</b>: "When he met the warden, Edmund said"</p>	vocabulary::basic::noun
<h1>conspiracy</h1><p><b>音标</b>: /kənˈspɪrəsi/<br><b>中文</b>: 阴谋，密谋<br><b>词性</b>: n.<br><b>例句</b>: "Only those against whom a conspiracy has been made are brought to this remote prison"</p>	vocabulary::advanced::noun
<h1>treasure</h1><p><b>音标</b>: /ˈtreʒər/<br><b>中文</b>: 宝藏，财富<br><b>词性</b>: n.<br><b>例句</b>: "500-year-old treasure map"</p>	vocabulary::basic::noun
<h1>revenge</h1><p><b>音标</b>: /rɪˈvendʒ/<br><b>中文</b>: 复仇<br><b>词性</b>: n.<br><b>例句</b>: "to take revenge on his enemies"</p>	vocabulary::basic::noun
<h1>betrayal</h1><p><b>音标</b>: /bɪˈtreɪəl/<br><b>中文</b>: 背叛<br><b>词性</b>: n.<br><b>例句</b>: "Both of them had been locked away because of betrayal"</p>	vocabulary::advanced::noun
<h1>fortune</h1><p><b>音标</b>: /ˈfɔːrtʃuːn/<br><b>中文</b>: 巨款，财富<br><b>词性</b>: n.<br><b>例句</b>: "His master had earned a huge fortune"</p>	vocabulary::intermediate::noun
<h1>luxurious</h1><p><b>音标</b>: /lʌɡˈʒʊriəs/<br><b>中文</b>: 奢侈的，豪华的<br><b>词性</b>: adj.<br><b>例句</b>: "big luxurious house"</p>	vocabulary::advanced::adjective
<h1>magnificent</h1><p><b>音标</b>: /mæɡˈnɪfɪsnt/<br><b>中文</b>: 壮丽的，宏伟的<br><b>词性</b>: adj.<br><b>例句</b>: "magnificent mansion"</p>	vocabulary::advanced::adjective
<h1>nobleman</h1><p><b>音标</b>: /ˈnoʊblmən/<br><b>中文</b>: 贵族<br><b>词性</b>: n.<br><b>例句</b>: "the new nobleman of France"</p>	vocabulary::intermediate::noun
<h1>corrupt</h1><p><b>音标</b>: /kəˈrʌpt/<br><b>中文</b>: 腐败的<br><b>词性</b>: adj.<br><b>例句</b>: "corrupt magistrate who had full control"</p>	vocabulary::advanced::adjective
<h1>treacherous</h1><p><b>音标</b>: /ˈtretʃərəs/<br><b>中文</b>: 背叛的，奸诈的<br><b>词性</b>: adj.<br><b>例句</b>: "treacherous friend, Montigue"</p>	vocabulary::advanced::adjective
