#separator:tab
#html:true
#tags:true

Front	Back	Tags
"immortal"	"<b>IPA</b>: /ɪˈmɔːrtl/<br><b>Definition</b>: living forever; never dying or decaying<br><b>POS</b>: adj<br><b>Collocation</b>: immortal being, immortal soul, immortal legend<br><b>Synonyms</b>: eternal, undying, everlasting, deathless<br><b>Example</b>: The man named Henry was an old monster who lived for 200 years and possessed an immortal body.<br><b>IELTS Score</b>: 8.0"	"vocabulary academic priority-1"
"supernatural"	"<b>IPA</b>: /ˌsuːpərˈnætʃərəl/<br><b>Definition</b>: attributed to some force beyond scientific understanding or the laws of nature<br><b>POS</b>: adj<br><b>Collocation</b>: supernatural power, supernatural ability, supernatural phenomenon<br><b>Synonyms</b>: paranormal, unearthly, miraculous, magical<br><b>Example</b>: Henry had witnessed countless deaths in his life, but he was an immortal with the supernatural power of unlimited resurrection.<br><b>IELTS Score</b>: 7.5"	"vocabulary academic priority-1"
"resurrection"	"<b>IPA</b>: /ˌrezəˈrekʃən/<br><b>Definition</b>: the act of rising from the dead or returning to life<br><b>POS</b>: n<br><b>Collocation</b>: resurrection from death, day of resurrection<br><b>Synonyms</b>: revival, rebirth, restoration, renewal<br><b>Example</b>: Henry had witnessed countless deaths in his life, but he was an immortal with the supernatural power of unlimited resurrection.<br><b>IELTS Score</b>: 8.0"	"vocabulary academic priority-1"
"bustling"	"<b>IPA</b>: /ˈbʌsəlɪŋ/<br><b>Definition</b>: full of activity and energy; busy<br><b>POS</b>: adj<br><b>Collocation</b>: bustling city, bustling street, bustling market<br><b>Synonyms</b>: busy, lively, active, vibrant<br><b>Example</b>: The man walked ashore and came to a bustling park.<br><b>IELTS Score</b>: 7.0"	"vocabulary descriptive priority-2"
"embarrassed"	"<b>IPA</b>: /ɪmˈbærəst/<br><b>Definition</b>: feeling self-conscious, awkward, or ashamed<br><b>POS</b>: adj<br><b>Collocation</b>: feel embarrassed, look embarrassed, embarrassed about<br><b>Synonyms</b>: ashamed, self-conscious, awkward, uncomfortable<br><b>Example</b>: Facing the gazes of the aunts and the police, he did not feel embarrassed at all.<br><b>IELTS Score</b>: 6.5"	"vocabulary emotion priority-2"
"experienced"	"<b>IPA</b>: /ɪkˈspɪriənst/<br><b>Definition</b>: having knowledge or skill in a particular field<br><b>POS</b>: v/adj<br><b>Collocation</b>: experienced teacher, experienced worker, highly experienced<br><b>Synonyms</b>: skilled, practiced, seasoned, knowledgeable<br><b>Example</b>: He was used to it because he had experienced such things many times.<br><b>IELTS Score</b>: 6.5"	"vocabulary professional priority-2"
"possessed"	"<b>IPA</b>: /pəˈzest/<br><b>Definition</b>: to have or own something; to be controlled by<br><b>POS</b>: v<br><b>Collocation</b>: possessed by, possessed of, possessed qualities<br><b>Synonyms</b>: owned, held, had, controlled<br><b>Example</b>: The man named Henry was an old monster who lived for 200 years and possessed an immortal body.<br><b>IELTS Score</b>: 6.5"	"vocabulary verb priority-2"
"fluent"	"<b>IPA</b>: /ˈfluːənt/<br><b>Definition</b>: able to express oneself easily and articulately<br><b>POS</b>: adj<br><b>Collocation</b>: fluent speaker, fluent in, fluent conversation<br><b>Synonyms</b>: articulate, smooth, natural, effortless<br><b>Example</b>: He only glanced at her and greeted her in fluent Russian.<br><b>IELTS Score</b>: 7.0"	"vocabulary language priority-1"
"enthusiastically"	"<b>IPA</b>: /ɪnˌθuːziˈæstɪkli/<br><b>Definition</b>: with great excitement and eagerness<br><b>POS</b>: adv<br><b>Collocation</b>: agree enthusiastically, respond enthusiastically, participate enthusiastically<br><b>Synonyms</b>: eagerly, excitedly, fervently, zealously<br><b>Example</b>: She enthusiastically invited him to watch her performance.<br><b>IELTS Score</b>: 7.5"	"vocabulary adverb priority-1"
"disaster"	"<b>IPA</b>: /dɪˈzæstər/<br><b>Definition</b>: a sudden event causing great damage or loss<br><b>POS</b>: n<br><b>Collocation</b>: natural disaster, disaster area, cause disaster<br><b>Synonyms</b>: catastrophe, tragedy, calamity, crisis<br><b>Example</b>: He happily accepted the invitation but the next second the whole train became a disaster.<br><b>IELTS Score</b>: 7.0"	"vocabulary noun priority-1"
